
 414
  3514
! 18
" 101
# 20
$ 2
% 1110
& 712
' 7
( 308
) 307
* 7
+ 332
, 199
- 3192
. 3951
/ 3951
0 3948
1 3950
2 3950
3 3753
4 3579
5 3522
6 3387
7 3404
8 3519
9 3340
: 3794
; 805
< 3951
= 14
> 3951
? 19
@ 48
A 424
AT&T 1
B 157
B超 5
C 386
D 265
E 192
F 103
G 407
H 100
I 369
J 40
K 78
L 126
M 210
N 134
O 224
P 568
Q 49
R 193
S 247
T 230
U 86
V 148
W 72
X 69
Y 37
Z 24
[ 39
\ 1
] 39
_ 816
a 1540
z 283
{ 78
| 21
} 78
~ 36
  58
­ 3
® 1
° 9
± 2
³ 1
· 457
× 11
é 1
ù 1
ú 1
ō 1
Ο 1
β 1
— 1032
― 5
‘ 494
’ 496
“ 2742
” 2742
• 6
… 585
‰ 2
℃ 13
™ 1
Ⅰ 4
Ⅱ 6
Ⅲ 13
Ⅳ 4
Ⅴ 7
→ 2
↓ 3
− 1
∙ 1
∞ 1
∶ 15
≠ 1
≤ 1
≥ 2
① 34
② 33
③ 21
④ 11
⑤ 7
⑥ 3
⑦ 1
⑧ 1
⑨ 2
⑩ 1
█ 1
■ 11
□ 5
▪ 1
▲ 7
△ 2
◆ 1
○ 2
◎ 6
● 6
⼊ 1
⼚ 1
⽣ 1
⽤ 1
倍 97
倍儿 1
倍加 5
倍受 4
倍受鼓舞 2
倍增 19
倍增器 1
倍感 12
倍数 3
倍率 2
倍道而进 1
倏 1
倏忽 1
倏然 2
倒 44
倒三角 1
倒下 4
倒也不 1
倒伏 1
倒入 6
倒刺 1
倒卖 2
倒叙 1
倒地 4
倒塌 7
倒影 1
倒打一耙 2
倒掉 1
倒排 4
倒推 2
倒数 3
倒数第 1
倒映 1
倒流 6
倒灌 1
倒票 1
倒置 3
倒背如流 1
倒腾 1
倒茬 1
倒行 2
倒行逆施 2
倒装 1
倒计 14
倒计时 14
倒车 2
倒转 1
倒进 2
倒退 2
倒逼 18
倒金字塔 1
倒闭 3
倒霉 1
倔 2
倔强 4
倕 1
倘若 13
候 11
候场 1
候审 1
候机 4
候机厅 1
候温 2
候补 1
候车 7
候车厅 3
候车室 2
候选 15
候选人 5
候鸟 7
倚 10
倚重 2
倚靠 2
借 55
借东风 1
借书 1
借以 2
借住 1
借作 1
借出 1
借到 2
借力 6
借助 126
借助于 2
借势 5
借口 7
借喻 1
借得 3
借故 1
借方 1
借景 1
借景抒情 1
借有 1
借期 1
借机 7
借条 1
借来 2
借款 10
借款人 6
借款方 1
借此 23
借此机会 6
借水行舟 1
借球 1
借用 14
借着 19
借给 1
借自 4
借记 2
借记卡 2
借调 1
借贷 9
借走 1
借过 2
借鉴 79
借钱 2
借阅 2
借题 1
借题发挥 1
倡导 111
倡导人 2
倡导者 7
倡廉 2
倡议 80
倡议书 14
倦怠 3
倩 15
倩女 1
倩女幽魂 1
倩影 1
倪 16
倭寇 1
倮 1
债 7
债券 10
债券市场 2
债务 24
债务人 2
债权 7
债权人 1
债权债务 3
债转股 1
值 61
值勤 1
值守 21
值完 2
值当 1
值得 216
值得一提 44
值得一提的是 41
值得反思 1
值得尊敬 1
值得尊重 1
值得注意 33
值日 4
值班 25
值班人 3
值班人员 3
值班员 2
值班室 2
倾 4
倾倒 7
倾力 10
倾向 32
倾向性 1
倾听 36
倾囊 2
倾囊相授 2
倾城 1
倾家 2
倾家荡产 2
倾尽 1
倾尽全力 1
倾废 1
倾心 4
倾情 9
倾慕 1
倾斜 28
倾斜仪 1
倾注 10
倾泻 3
倾盆 1
倾覆 1
倾角 4
倾诉 4
倾销 1
偃师 1
偃月 1
假 21
假人 4
假以时日 1
假体 2
假作 4
假借 4
假冒 18
假冒伪劣 8
假劣 1
假发 1
假如 4
假币 1
假恶丑 1
假意 2
假戏真做 1
假手 2
假报 1
假摔 1
假新闻 1
假日 31
假日酒店 1
假期 79
假案 1
假消息 3
假用 1
假画 1
假结 1
假肢 3
假若 1
假设 8
假话 2
假说 2
假象 5
假货 3
假贷 1
假酒 4
假释 1
偌大 5
偏 42
偏上 1
偏下 1
偏于 1
偏低 15
偏偏 3
偏僻 6
偏北 1
偏右 1
偏向 3
偏大 1
偏好 13
偏少 7
偏差 22
偏执 3
偏振 2
偏枯 1
偏爱 6
偏离 14
偏私 2
偏科 1
偏移 1
偏紧 5
偏袒 2
偏要 3
偏见 12
偏转 1
偏轻 1
偏远 34
偏远地区 13
偏重 10
偏重于 2
偏锋 2
偏门 1
偏颇 5
偏食 1
偕 1
做 614
做一套 2
做不了 3
做为 7
做主 5
做事 20
做亲 1
做人 15
做伴 1
做作 4
做作业 4
做作业时 1
做做 6
做出 165
做到 264
做功 1
做好 463
做好事 6
做学问 3
做官 1
做客 18
做寿 1
做工 15
做广告 1
做得好 4
做成 24
做手 2
做手脚 1
做文章 9
做梦 8
做法 103
做活 2
做派 2
做点事 1
做生意 4
做菜 2
做起 47
做饭 23
停 41
停上 1
停下 17
停下来 6
停不下 3
停不下来 2
停业 10
停业整顿 6
停产 6
停停 2
停到 4
停办 2
停发 1
停售 1
停学 2
停工 7
停开 1
停息 2
停战 2
停战协定 1
停摆 9
停放 10
停放在 1
停机 5
停机位 1
停歇 9
停止 76
停止使用 5
停步 5
停水 3
停泊 2
停滞 8
停滞不前 4
停火 18
停火协议 2
停牌 1
停用 4
停电 10
停留 37
停留时间 1
停线 1
停职 5
停职检查 1
停航 2
停薪 1
停课 4
停赛 1
停蹄 4
停车 41
停车位 15
停车场 12
停车库 1
停车楼 3
停车线 1
停车费 2
停车难 6
停转 1
停运 5
停进 2
停靠 6
停靠在 3
停顿 1
停驶 1
停驻 1
健 101
健与美 1
健体 14
健儿 8
健全 187
健全人 5
健全人格 2
健将 1
健康 621
健康人 1
健康成长 28
健康报 1
健康权 5
健康状况 24
健康网 1
健康美 3
健康证 1
健康长寿 3
健康险 3
健步 7
健步如飞 2
健美 2
健美操 1
健胃 3
健脾 8
健脾胃 1
健谈 1
健身 52
健身器 7
健身器材 7
健身房 2
健身操 2
健身活动 4
健身运动 1
偲 9
偶 10
偶像 5
偶发 2
偶发性 1
偶尔 8
偶或 1
偶然 15
偶然性 1
偶见 1
偶遇 2
偷 8
偷偷 10
偷偷地 1
偷办 1
偷工 8
偷工减料 7
偷懒 1
偷拍 1
偷换 2
偷换概念 2
偷渡 1
偷生 1
偷盗 4
偷窃 1
偷笑 1
偷走 1
偷起 1
偷起来 1
偷越 1
偷闲 1
偿付 2
偿债 4
偿回 1
偿还 2
傅 22
傅自应 2
傈僳 1
傍 5
傍晚 16
傍晚时候 1
傍水 2
傣 1
傣族 3
傥 1
储 21
储备 64
储备库 2
储备物资 1
储备粮 2
储存 26
储存卡 1
储存量 1
储户 1
储气库 2
储氢 1
储水 3
储油 3
储油平台 3
储油量 1
储电量 1
储积 1
储粮 4
储罐 2
储能 8
储蓄 4
储蓄率 1
储蓄银行 1
储藏 4
储起来 1
储运 6
储量 8
傩戏 1
催 5
催人奋进 3
催人泪下 1
催促 4
催动 1
催化 12
催化剂 9
催化反应 1
催吐 1
催征 1
催泪 2
催泪瓦斯 1
催熟 2
催生 49
催生出 9
催缴 1
傲 5
傲人 2
傲慢 2
傲江湖 2
傲然 1
傲视 3
傻 4
傻傻 1
傻冒 1
傻子 1
傻瓜 1
傻眼 1
像 286
像头 42
像是 34
像样 7
像样儿 1
像素 12
像素点 1
僖 1
僧 3
僧侣 1
僮 1
僵 4
僵化 3
僵尸 8
僵局 5
僵持 2
僵硬 1
僻壤 1
儋 1
儋州 2
儋州市 1
儒 10
儒学 5
儒家 7
儒家思想 1
儒道 1
儒雅 1
儿 35
儿女 42
儿女情 1
儿女情长 1
儿媳 5
儿媳妇 3
儿子 63
儿孙 4
儿戏 2
儿时 10
儿歌 3
儿科 2
儿童 156
儿童公园 1
儿童剧 1
儿童医院 2
儿童心理 6
儿童教育 4
